,City,Country,Latitude,Longitude,Temperature (F),Wind Speed (mph),Cloudiness %,Humidity %,Date
214,Thompson,CA,55.74,-97.86,53.87,0.76,20,81,1596346335
215,Mahébourg,MU,-20.41,57.7,71.87,12.75,75,78,1596346347
216,Punta Arenas,CL,-53.15,-70.92,35.56,19.46,100,93,1596346314
217,Melilla,ES,35.29,-2.94,87.73,10.29,10,29,1596346347
218,Saint Paul Harbor,US,57.79,-152.41,57.47,3.36,90,76,1596346345
219,Port Hawkesbury,CA,45.62,-61.35,64.15,5.82,90,88,1596346348
220,Cape Town,ZA,-33.93,18.42,53.87,1.12,0,58,1596346201
221,Beringovskiy,RU,63.05,179.32,50.59,12.55,100,78,1596346348
222,Kiryat Gat,IL,31.61,34.76,77.81,3.0,0,57,1596346348
223,Rikitea,PF,-23.12,-134.97,73.54,8.1,40,79,1596346313
224,Bogo,PH,11.05,124.01,88.0,3.31,100,60,1596346349
225,Namatanai,PG,-3.67,152.43,83.07,8.25,49,76,1596346349
226,Bethel,US,41.37,-73.41,72.45,3.36,1,83,1596346328
227,Jamestown,US,42.1,-79.24,67.91,9.17,20,93,1596346321
228,Olafsvik,IS,64.89,-23.71,46.85,23.53,100,87,1596346338
229,Clyde River,CA,70.47,-68.59,35.87,2.24,90,100,1596346350
230,Poronaysk,RU,49.22,143.12,68.7,14.81,97,86,1596346345
231,Ushuaia,AR,-54.8,-68.3,35.87,4.7,95,93,1596346287
232,East London,ZA,-33.02,27.91,48.47,6.93,0,87,1596346331
233,Faanui,PF,-16.48,-151.75,78.39,12.97,17,83,1596346350
234,Nnewi,NG,6.02,6.91,71.38,3.87,100,93,1596346351
235,Ribeira Grande,PT,38.52,-28.7,70.75,7.76,2,69,1596346320
236,Barrow,US,71.29,-156.79,35.87,9.17,90,74,1596346128
237,Saldanha,ZA,-33.01,17.94,50.27,1.12,0,71,1596346351
238,Cape Town,ZA,-33.93,18.42,53.87,1.12,0,58,1596346201
239,Ushuaia,AR,-54.8,-68.3,35.87,4.7,95,93,1596346287
240,Tingi,TZ,-11.3,35.03,60.15,4.52,68,67,1596346352
241,Saldanha,ZA,-33.01,17.94,50.27,1.12,0,71,1596346351
242,Albany,US,42.6,-73.97,72.18,3.71,100,60,1596346318
243,Provideniya,RU,64.38,-173.3,48.63,8.63,14,63,1596346352
244,Qaanaaq,GL,77.48,-69.36,37.2,10.56,100,81,1596346317
245,Ribeira Grande,PT,38.52,-28.7,70.75,7.76,2,69,1596346320
246,Srednekolymsk,RU,67.45,153.68,61.07,3.78,80,49,1596346352
247,Khatanga,RU,71.97,102.5,67.01,11.01,100,73,1596346353
248,Maxixe,MZ,-23.86,35.35,68.27,4.7,75,64,1596346353
249,Hithadhoo,MV,-0.6,73.08,83.68,10.31,64,71,1596346247
250,Saint George,US,37.1,-113.58,92.71,4.7,1,11,1596346272
251,Vaini,TO,-21.2,-175.2,71.87,6.93,75,78,1596346318
252,Punta Arenas,CL,-53.15,-70.92,35.56,19.46,100,93,1596346314
253,Olafsvik,IS,64.89,-23.71,46.85,23.53,100,87,1596346338
254,Haines Junction,CA,60.75,-137.51,57.45,7.61,51,63,1596346102
255,Dunedin,NZ,-45.87,170.5,54.37,2.84,84,77,1596346100
256,Kwang Binh,VN,17.48,106.6,84.52,11.14,100,72,1596346354
257,Mar del Plata,AR,-38.0,-57.56,52.36,5.82,100,87,1596346355
258,Broken Hill,AU,-31.95,141.43,70.07,5.82,46,19,1596346355
259,Qaanaaq,GL,77.48,-69.36,37.2,10.56,100,81,1596346317
260,Kaoma,ZM,-14.78,24.8,51.94,11.14,0,58,1596346355
261,Nikolskoye,RU,59.7,30.79,60.76,4.47,40,87,1596346338
262,Busselton,AU,-33.65,115.33,54.88,14.54,61,95,1596346312
263,Tucumã,BR,-0.18,-50.05,76.68,6.82,67,91,1596346356
264,Matamoros,MX,25.53,-103.25,77.27,10.31,34,57,1596346356
265,Nushki,PK,29.55,66.02,98.96,8.77,12,13,1596346356
266,Hobart,AU,-42.88,147.33,56.26,13.87,75,41,1596346320
267,Port-Gentil,GA,-0.72,8.78,75.47,10.18,40,88,1596346357
268,Bengkulu,ID,-3.8,102.27,83.7,8.81,98,68,1596346291
269,Dikson,RU,73.51,80.55,50.72,15.23,23,88,1596346357
270,Ponta do Sol,PT,32.67,-17.1,67.8,17.22,20,78,1596346357
271,Bredasdorp,ZA,-34.53,20.04,46.67,4.7,0,93,1596346326
272,Rāvar,IR,31.27,56.81,96.67,7.4,29,16,1596346357
273,Leh,IN,34.17,77.58,67.33,6.35,2,27,1596346357
274,Sobolevo,RU,54.43,31.9,57.31,8.72,76,85,1596346358
275,Vaini,TO,-21.2,-175.2,71.87,6.93,75,78,1596346318
276,Bluff,NZ,-46.6,168.33,50.95,4.74,100,89,1596346314
277,Laguna,US,38.42,-121.42,75.24,6.93,1,46,1596346191
278,Zhangye,CN,38.93,100.45,86.74,5.3,99,14,1596346358
279,Provideniya,RU,64.38,-173.3,48.63,8.63,14,63,1596346352
280,Oistins,BB,13.07,-59.53,82.67,8.05,40,78,1596346209
281,Lata,PT,40.16,-8.33,61.2,2.48,55,92,1596346359
282,Mataura,NZ,-46.19,168.86,50.07,1.39,100,94,1596346313
283,Bairiki Village,KI,1.33,172.98,86.27,11.41,20,70,1596346359
284,Ushuaia,AR,-54.8,-68.3,35.87,4.7,95,93,1596346287
285,Tual,ID,-5.67,132.75,78.55,17.13,42,82,1596346359
286,Lima,PE,-12.04,-77.03,59.27,8.05,90,87,1596346164
287,São Filipe,CV,14.9,-24.5,77.9,1.12,0,83,1596346360
288,Nerchinskiy Zavod,RU,51.31,119.61,85.03,10.78,69,43,1596346360
289,San Onofre,CO,9.74,-75.53,78.48,4.16,49,92,1596346360
290,Busselton,AU,-33.65,115.33,54.88,14.54,61,95,1596346312
291,Cabo San Lucas,MX,22.89,-109.91,86.25,1.01,0,62,1596346341
292,Iskateley,RU,67.68,53.15,57.47,8.79,83,78,1596346361
293,Mbanza-Ngungu,CD,-5.25,14.87,65.95,7.34,86,86,1596346361
294,East London,ZA,-33.02,27.91,48.47,6.93,0,87,1596346331
295,Marshalltown,US,42.05,-92.91,65.37,6.93,75,93,1596346361
296,Albany,US,42.6,-73.97,72.18,3.71,100,60,1596346318
297,Atuona,PF,-9.8,-139.03,79.48,16.75,38,76,1596346322
298,Pevek,RU,69.7,170.31,36.68,6.73,95,90,1596346331
299,Olafsvik,IS,64.89,-23.71,46.85,23.53,100,87,1596346338
300,New Norfolk,AU,-42.78,147.06,53.87,3.0,87,48,1596346312
301,Ribeira Grande,PT,38.52,-28.7,70.75,7.76,2,69,1596346320
302,Erzin,TR,36.96,36.2,85.26,4.43,81,77,1596346362
303,Barrow,US,71.29,-156.79,35.87,9.17,90,74,1596346128
304,Castro,BR,-24.79,-50.01,49.66,3.22,0,97,1596346362
305,Mahébourg,MU,-20.41,57.7,71.87,12.75,75,78,1596346347
306,Qaanaaq,GL,77.48,-69.36,37.2,10.56,100,81,1596346317
307,Safi,MA,32.3,-9.24,73.17,16.87,0,75,1596346116
308,Puerto Ayora,EC,-0.74,-90.35,67.26,4.0,96,96,1596346363
309,Punta Arenas,CL,-53.15,-70.92,35.56,19.46,100,93,1596346314
310,Rikitea,PF,-23.12,-134.97,73.54,8.1,40,79,1596346313
311,Ponta do Sol,PT,32.67,-17.1,67.8,17.22,20,78,1596346357
312,Busselton,AU,-33.65,115.33,54.88,14.54,61,95,1596346312
313,Mweka,CD,-4.85,21.57,77.81,1.21,79,44,1596346364
314,Plettenberg Bay,ZA,-34.05,23.37,72.68,14.83,0,22,1596346330
315,Port Alfred,ZA,-33.59,26.89,63.25,9.04,0,32,1596346275
316,Vallenar,CL,-28.57,-70.76,57.63,1.59,17,53,1596346364
317,Parabel',RU,58.7,81.48,78.58,6.33,20,60,1596346364
318,Tateyama,JP,34.98,139.87,88.2,9.17,40,58,1596346364
319,Norman Wells,CA,65.28,-126.83,73.67,2.24,75,73,1596346319
320,Kaitangata,NZ,-46.28,169.85,55.27,4.0,93,72,1596346335
321,Clyde River,CA,70.47,-68.59,35.87,2.24,90,100,1596346350
322,Zhangye,CN,38.93,100.45,86.74,5.3,99,14,1596346358
323,Kaitangata,NZ,-46.28,169.85,55.27,4.0,93,72,1596346335
324,Amapá,BR,1.0,-52.0,70.75,1.25,77,98,1596346365
325,Walvis Bay,NA,-22.96,14.51,66.47,6.93,0,22,1596346365
326,Bowen,AU,-20.02,148.23,74.05,20.8,1,53,1596346323
327,Margate,GB,51.38,1.39,60.51,1.99,27,72,1596346211
328,Tiksi,RU,71.69,128.87,50.65,4.0,66,67,1596346333
329,Avarua,CK,-21.21,-159.78,68.27,2.24,100,72,1596346343
330,Cacequi,BR,-29.88,-54.83,60.35,8.08,0,93,1596346084
331,Iranshahr,IR,27.2,60.68,100.67,11.41,0,31,1596346366
332,Jamestown,US,42.1,-79.24,67.91,9.17,20,93,1596346321
333,Chui,UY,-33.7,-53.46,53.13,7.65,87,92,1596346335
334,Londoko,RU,49.03,131.98,77.16,2.91,97,90,1596346367
335,Mataura,NZ,-46.19,168.86,50.07,1.39,100,94,1596346313
336,Barrow,US,71.29,-156.79,35.87,9.17,90,74,1596346128
337,Lavrentiya,RU,65.58,-171.0,44.01,12.37,95,72,1596346367
338,Beloha,MG,-25.17,45.05,66.74,14.38,0,60,1596346368
339,Chui,UY,-33.7,-53.46,53.13,7.65,87,92,1596346335
340,San Miguel de Tucumán,AR,-26.82,-65.22,53.87,4.7,0,66,1596346354
341,Hobart,AU,-42.88,147.33,56.26,13.87,75,41,1596346320
342,Mataura,NZ,-46.19,168.86,50.07,1.39,100,94,1596346313
343,Ürümqi,CN,43.8,87.6,88.07,4.47,6,19,1596346332
344,Mandalgovi,MN,45.76,106.27,66.07,26.11,62,51,1596346343
345,Salalah,OM,17.02,54.09,82.67,3.36,75,88,1596346369
346,Zhezkazgan,KZ,47.8,67.71,88.07,11.18,0,27,1596346369
347,Punta Arenas,CL,-53.15,-70.92,35.56,19.46,100,93,1596346314
348,Busselton,AU,-33.65,115.33,54.88,14.54,61,95,1596346312
349,Cherskiy,RU,68.75,161.3,51.33,12.97,74,63,1596346369
350,Mataura,NZ,-46.19,168.86,50.07,1.39,100,94,1596346313
351,Airai,TL,-8.93,125.41,72.64,2.75,8,54,1596346331
352,Saskylakh,RU,71.92,114.08,76.57,6.15,100,34,1596346334
353,Chokurdakh,RU,70.63,147.92,61.23,6.08,94,52,1596346316
354,Cehegín,ES,38.09,-1.8,78.04,1.01,0,63,1596346370
355,Inongo,CD,-1.95,18.27,71.01,3.2,85,76,1596346370
356,Rikitea,PF,-23.12,-134.97,73.54,8.1,40,79,1596346313
357,Ekhabi,RU,53.51,142.97,52.93,13.82,100,94,1596346370
358,Poya,NC,-21.35,165.15,68.32,9.8,3,66,1596346370
359,Gerāsh,IR,27.67,54.14,91.67,6.93,22,52,1596346371
360,Galesong,ID,-5.32,119.37,89.87,11.41,20,52,1596346371
361,Butaritari,KI,3.07,172.79,84.11,16.84,9,77,1596346330
362,Changping,CN,40.22,116.22,95.67,6.71,2,52,1596346371
363,Richards Bay,ZA,-28.78,32.04,62.51,6.13,0,70,1596346328
364,Busselton,AU,-33.65,115.33,54.88,14.54,61,95,1596346312
365,Hermanus,ZA,-34.42,19.23,60.78,3.67,0,49,1596346322
366,Tilichiki,RU,60.47,166.1,61.5,5.08,67,63,1596346372
367,Bukama,CD,-9.2,25.85,72.68,1.77,95,31,1596346372
368,Władysławowo,PL,54.79,18.4,58.28,1.12,25,87,1596346372
369,Cape Town,ZA,-33.93,18.42,53.87,1.12,0,58,1596346201
370,Te Anau,NZ,-45.42,167.72,50.56,1.86,93,91,1596346373
371,Chirkey,RU,42.96,46.98,77.27,15.66,40,61,1596346373
372,Port Alfred,ZA,-33.59,26.89,63.25,9.04,0,32,1596346275
